Part;Value;Device;Package;Description
BAT1;;BATTERY20PTH;BATTCOM_20MM_PTH;Battery Holders
C1;0.1u;C-US075-042X103;C075-042X103;CAPACITOR, American symbol
C2;0.1u;C-US075-042X103;C075-042X103;CAPACITOR, American symbol
C3;0.1u;C-US075-042X103;C075-042X103;CAPACITOR, American symbol
C4;1u;CPOL-USB/3528-21W;B/3528-21W;POLARIZED CAPACITOR, American symbol
C5;1u;CPOL-USB/3528-21W;B/3528-21W;POLARIZED CAPACITOR, American symbol
FM1;S25FL064P;S25FL064P;SO16;
FM2;S25FL064P;S25FL064P;SO16;
IC1;LM358D;LM358D;SO08;"OP AMP also LM158; LM258; LM2904"
IC2;LM358D;LM358D;SO08;"OP AMP also LM158; LM258; LM2904"
IC3;LM358D;LM358D;SO08;"OP AMP also LM158; LM258; LM2904"
J2;;ML40;ML40;HARTING
J3;;ML40;ML40;HARTING
JP1;SDCARD1;PINHD-1X9;1X09;PIN HEADER
JP2;;PINHD-2X2;2X02;PIN HEADER
LED1;;LEDCHIP-LED0805;CHIP-LED0805;LED
LED2;;LEDCHIP-LED0805;CHIP-LED0805;LED
LED3;;LEDCHIP-LED0805;CHIP-LED0805;LED
LED4;;LEDCHIP-LED0805;CHIP-LED0805;LED
OK1;MOC3041;MOC3041M;DIL06;6-Pin DIP Zero-Cross Optoisolators Triac Driver Output (250/400 Volt Peak)
OK2;MOC3041;MOC3041M;DIL06;6-Pin DIP Zero-Cross Optoisolators Triac Driver Output (250/400 Volt Peak)
OK3;MOC3041;MOC3041M;DIL06;6-Pin DIP Zero-Cross Optoisolators Triac Driver Output (250/400 Volt Peak)
Q1;;CRYSTALTC26H;TC26H;CRYSTAL
R1;10K;R-US_R0603;R0603;RESISTOR, American symbol
R2;20K;R-US_R0603;R0603;RESISTOR, American symbol
R3;10K;R-US_R0603;R0603;RESISTOR, American symbol
R4;20K;R-US_R0603;R0603;RESISTOR, American symbol
R5;10K;R-US_R0603;R0603;RESISTOR, American symbol
R6;20K;R-US_R0603;R0603;RESISTOR, American symbol
R7;10K;R-US_R0603;R0603;RESISTOR, American symbol
R8;20K;R-US_R0603;R0603;RESISTOR, American symbol
R9;10K;R-US_R0603;R0603;RESISTOR, American symbol
R10;20K;R-US_R0603;R0603;RESISTOR, American symbol
R11;10K;R-US_R0603;R0603;RESISTOR, American symbol
R12;20K;R-US_R0603;R0603;RESISTOR, American symbol
R13;10K;R-US_R0603;R0603;RESISTOR, American symbol
R14;20K;R-US_R0603;R0603;RESISTOR, American symbol
R15;10K;R-US_R0603;R0603;RESISTOR, American symbol
R16;220;R-US_R0603;R0603;RESISTOR, American symbol
R17;390;R-US_0207/7;0207/7;RESISTOR, American symbol
R18;330;R-US_0207/7;0207/7;RESISTOR, American symbol
R19;220;R-US_0309/10;0309/10;RESISTOR, American symbol
R20;220;R-US_R0603;R0603;RESISTOR, American symbol
R21;390;R-US_0207/7;0207/7;RESISTOR, American symbol
R22;330;R-US_0207/7;0207/7;RESISTOR, American symbol
R23;220;R-US_0309/10;0309/10;RESISTOR, American symbol
R24;220;R-US_R0603;R0603;RESISTOR, American symbol
R25;390;R-US_0207/7;0207/7;RESISTOR, American symbol
R26;330;R-US_0207/7;0207/7;RESISTOR, American symbol
R27;220;R-US_0309/10;0309/10;RESISTOR, American symbol
R28;220;R-US_R0603;R0603;RESISTOR, American symbol
R29;1K;R-US_M0805;M0805;RESISTOR, American symbol
R30;10K;R-US_R0805;R0805;RESISTOR, American symbol
R31;1K;R-US_R0805;R0805;RESISTOR, American symbol
R32;10K;R-US_R0805;R0805;RESISTOR, American symbol
R33;220;R-US_R0603;R0603;RESISTOR, American symbol
R34;220;R-US_R0603;R0603;RESISTOR, American symbol
R35;1K;R-US_R0805;R0805;RESISTOR, American symbol
R36;10K;R-US_R0805;R0805;RESISTOR, American symbol
R37;1K;R-US_R0805;R0805;RESISTOR, American symbol
R38;10K;R-US_R0805;R0805;RESISTOR, American symbol
R39;220;R-US_R0603;R0603;RESISTOR, American symbol
R40;220;R-US_R0603;R0603;RESISTOR, American symbol
R41;5K;R-US_R1206;R1206;RESISTOR, American symbol
R42;820;R-US_R0603;R0603;RESISTOR, American symbol
R43;470;R-US_R0603;R0603;RESISTOR, American symbol
R44;135;R-US_R0603;R0603;RESISTOR, American symbol
R45;330;R-US_R0603;R0603;RESISTOR, American symbol
R46;130;R-US_R0603;R0603;RESISTOR, American symbol
R47;10K;R-TRIMM64W;RTRIM64W;Trimm resistor
R48;10K;R-US_R0603;R0603;RESISTOR, American symbol
R49;5K;R-US_R1206;R1206;RESISTOR, American symbol
R50;820;R-US_R0603;R0603;RESISTOR, American symbol
R51;470;R-US_R0603;R0603;RESISTOR, American symbol
R52;135;R-US_R0603;R0603;RESISTOR, American symbol
R53;330;R-US_R0603;R0603;RESISTOR, American symbol
R54;130;R-US_R0603;R0603;RESISTOR, American symbol
R55;10K;R-TRIMM64W;RTRIM64W;Trimm resistor
R56;10K;R-US_R0603;R0603;RESISTOR, American symbol
R57;10K;R-US_R0603;R0603;RESISTOR, American symbol
R58;20K;R-US_R0603;R0603;RESISTOR, American symbol
R59;10K;R-US_R0603;R0603;RESISTOR, American symbol
R60;20K;R-US_R0603;R0603;RESISTOR, American symbol
R61;10K;R-US_R0603;R0603;RESISTOR, American symbol
R62;10K;R-US_R0603;R0603;RESISTOR, American symbol
SG1;F/CM12P;F/CM12P;F/CM12P;BUZZER Source: Buerklin
SV1;LCD_HEADER1;ML34;ML34;HARTING
T1;BT138;BT138-V;TO220BV;TRIAC
T2;BT138;BT138-V;TO220BV;TRIAC
T3;BT138;BT138-V;TO220BV;TRIAC
T4;;MMBT2222ALT1-NPN-SOT23-BEC;SOT23-BEC;NPN Transistror
U4;ILD74;ILD74;DIL08;
U5;ILD74;ILD74;DIL08;
U6;DS1338;DS1338;SO08;
X1;NIVEL_MIN_DEP1;22-23-2021;22-23-2021;".100 (2.54mm) Center Header - 2 Pin"""
X2;NIVEL_MAX_DEP1;22-23-2021;22-23-2021;".100 (2.54mm) Center Header - 2 Pin"""
X3;MULETILLA_ON/OFF;22-23-2021;22-23-2021;".100 (2.54mm) Center Header - 2 Pin"""
X4;NIVEL_MAX_CAM1;22-23-2021;22-23-2021;".100 (2.54mm) Center Header - 2 Pin"""
X5;EMERGENCIA1;22-23-2021;22-23-2021;".100 (2.54mm) Center Header - 2 Pin"""
X6;FINAL_CARRERA_PUERTA1;22-23-2021;22-23-2021;".100 (2.54mm) Center Header - 2 Pin"""
X7;BOTON_INICIO;22-23-2021;22-23-2021;".100 (2.54mm) Center Header - 2 Pin"""
X8;E. DESCARGUE1;W237-102;W237-102;WAGO SCREW CLAMP
X9;E. LLENADO1;W237-102;W237-102;WAGO SCREW CLAMP
X10;AUXILIAR1;W237-102;W237-102;WAGO SCREW CLAMP
X11;;W237-102;W237-102;WAGO SCREW CLAMP
X12;;W237-102;W237-102;WAGO SCREW CLAMP
X13;;W237-102;W237-102;WAGO SCREW CLAMP
X14;POWER;W237-102;W237-102;WAGO SCREW CLAMP
X15;TERMOCUPLA1;W237-102;W237-102;WAGO SCREW CLAMP
X16;TERMOCUPLA2;W237-102;W237-102;WAGO SCREW CLAMP
X17;T_PRESION1;W237-102;W237-102;WAGO SCREW CLAMP
X18;T_PRESION2;W237-102;W237-102;WAGO SCREW CLAMP
X19;ADC2;22-23-2021;22-23-2021;".100 (2.54mm) Center Header - 2 Pin"""
X20;ADC1;22-23-2021;22-23-2021;".100 (2.54mm) Center Header - 2 Pin"""
